Date,Price,Open,High,Low,Vol.,Change %,SMA-20,BB-upper,BB-lower,Gain / Loss,Average Gain,Average loss,RS,RSI
13-Nov-17,2582.00,2580.25,2585.50,2570.25,1.05M,0.10%,"2,573.40",2594.995809,2551.804191,2.5,3.4375,-2.15,1.598837209,61.5212528
10-Nov-17,2579.50,2582.00,2585.75,2571.50,1.19M,-0.17%,"2,572.11",2594.601372,2549.623628,-4.5,3.4875,-2.15,1.622093023,61.86252772
9-Nov-17,2584.00,2591.25,2594.50,2563.25,2.22M,-0.27%,"2,570.78",2594.558508,2546.991492,-7,3.65,-1.925,1.896103896,65.47085202
8-Nov-17,2591.00,2584.00,2592.50,2579.75,1.06M,0.16%,"2,569.05",2593.780442,2544.319558,4.25,3.65,-1.75,2.085714286,67.59259259
7-Nov-17,2586.75,2587.75,2593.50,2580.75,1.16M,-0.08%,"2,567.15",2590.584904,2543.715096,-2,3.6625,-1.75,2.092857143,67.66743649
6-Nov-17,2588.75,2580.00,2590.00,2575.50,848.12K,0.23%,"2,565.24",2588.175331,2542.299669,6,3.9,-1.65,2.363636364,70.27027027
3-Nov-17,2582.75,2577.50,2585.50,2573.50,992.68K,0.23%,"2,562.99",2585.024834,2540.950166,6,3.6,-1.7125,2.102189781,67.76470588
2-Nov-17,2576.75,2571.50,2578.50,2562.25,1.30M,0.08%,"2,561.10",2582.466723,2539.733277,2,3.3,-1.9625,1.681528662,62.70783848
1-Nov-17,2574.75,2572.75,2585.50,2571.00,1.29M,0.08%,"2,559.76",2580.338722,2539.186278,2,3.8875,-1.9625,1.98089172,66.45299145
31-Oct-17,2572.75,2568.00,2575.50,2566.75,1.05M,0.18%,"2,557.84",2579.674983,2536.000017,4.5,3.9625,-1.9625,2.01910828,66.87763713
30-Oct-17,2568.25,2575.50,2578.25,2565.50,1.24M,-0.40%,"2,555.84",2579.198103,2532.476897,-10.25,4.0625,-1.9625,2.070063694,67.42738589
27-Oct-17,2578.50,2561.50,2580.75,2557.50,1.56M,0.66%,"2,553.74",2579.795368,2527.679632,17,4.575,-1.45,3.155172414,75.93360996
26-Oct-17,2561.50,2559.50,2565.00,2555.50,1.39M,0.12%,"2,550.61",2579.048705,2522.176295,3,4.1375,-1.45,2.853448276,74.049217
25-Oct-17,2558.50,2564.75,2566.25,2541.50,2.10M,-0.34%,"2,547.93",2581.689315,2514.160685,-8.75,4.15,-1.45,2.862068966,74.10714286
24-Oct-17,2567.25,2562.50,2570.25,2562.25,1.05M,0.15%,"2,545.23",2583.731971,2506.718029,3.75,4.6,-1.0125,4.543209877,81.95991091
